I'm sorry, but errors were detected in your script. Please correct the
errors listed below, and try again.


File "game/script_111aba.rpy", line 43: Line with id day1_052f501e appears twice. The other line is game/script.rpy:43

File "game/script_111aba.rpy", line 45: Line with id day1_54bb61c1 appears twice. The other line is game/script.rpy:45

File "game/script_111aba.rpy", line 47: Line with id day1_9a8f13b3 appears twice. The other line is game/script.rpy:47

File "game/script_111aba.rpy", line 49: Line with id day1_7eada5c4 appears twice. The other line is game/script.rpy:49

File "game/script_111aba.rpy", line 50: Line with id day1_1f43390b appears twice. The other line is game/script.rpy:50

File "game/script_111aba.rpy", line 55: Line with id day1_eff6a2d3 appears twice. The other line is game/script.rpy:55

File "game/script_111aba.rpy", line 58: Line with id day1_245e42b8 appears twice. The other line is game/script.rpy:58

File "game/script_111aba.rpy", line 60: Line with id day1_8ff0e6e0 appears twice. The other line is game/script.rpy:60

File "game/script_111aba.rpy", line 61: Line with id day1_f3c1489b appears twice. The other line is game/script.rpy:61

File "game/script_111aba.rpy", line 72: Line with id day2_37c6c30e appears twice. The other line is game/script.rpy:72

File "game/script_111aba.rpy", line 74: Line with id day2_ef278cf1 appears twice. The other line is game/script.rpy:74

File "game/script_111aba.rpy", line 76: Line with id day2_720e1e5f appears twice. The other line is game/script.rpy:76

File "game/script_111aba.rpy", line 78: Line with id day2_45732ef0 appears twice. The other line is game/script.rpy:78

File "game/script_111aba.rpy", line 79: Line with id day2_0b99db40 appears twice. The other line is game/script.rpy:79

File "game/script_111aba.rpy", line 84: Line with id day2_4a4aef53 appears twice. The other line is game/script.rpy:84

File "game/script_111aba.rpy", line 87: Line with id day2_7cc00ae3 appears twice. The other line is game/script.rpy:87

File "game/script_111aba.rpy", line 89: Line with id day2_7b90ecf1 appears twice. The other line is game/script.rpy:89

File "game/script_111aba.rpy", line 99: Line with id day3_5ddf0a8c appears twice. The other line is game/script.rpy:99

File "game/script_111aba.rpy", line 101: Line with id day3_9bbef836 appears twice. The other line is game/script.rpy:101

File "game/script_111aba.rpy", line 106: Line with id day3_e859d06c appears twice. The other line is game/script.rpy:106

File "game/script_111aba.rpy", line 109: Line with id day3_403106be appears twice. The other line is game/script.rpy:109

File "game/script_111aba.rpy", line 111: Line with id day3_449f6eb3 appears twice. The other line is game/script.rpy:111

File "game/script_111aba.rpy", line 121: Line with id day4_ce379609 appears twice. The other line is game/script.rpy:121

File "game/script_111aba.rpy", line 123: Line with id day4_722fc19b appears twice. The other line is game/script.rpy:123

File "game/script_111aba.rpy", line 125: Line with id day4_2abbaaa9 appears twice. The other line is game/script.rpy:125

File "game/script_111aba.rpy", line 126: Line with id day4_10af66f5 appears twice. The other line is game/script.rpy:126

File "game/script_111aba.rpy", line 131: Line with id day4_785f73e3 appears twice. The other line is game/script.rpy:131

File "game/script_111aba.rpy", line 134: Line with id day4_ff9342e6 appears twice. The other line is game/script.rpy:134

File "game/script_111aba.rpy", line 145: Line with id day5_a2190092 appears twice. The other line is game/script.rpy:145

File "game/script_111aba.rpy", line 147: Line with id day5_9f4fbcbc appears twice. The other line is game/script.rpy:147

File "game/script_111aba.rpy", line 152: Line with id day5_e2122828 appears twice. The other line is game/script.rpy:152

File "game/script_111aba.rpy", line 155: Line with id day5_581c5fd4 appears twice. The other line is game/script.rpy:155

File "game/script_111aba.rpy", line 157: Line with id day5_dec73111 appears twice. The other line is game/script.rpy:157

File "game/script_111aba.rpy", line 167: Line with id day6_daff8081 appears twice. The other line is game/script.rpy:167

File "game/script_111aba.rpy", line 169: Line with id day6_01017227 appears twice. The other line is game/script.rpy:169

File "game/script_111aba.rpy", line 170: Line with id day6_70309137 appears twice. The other line is game/script.rpy:170

File "game/script_111aba.rpy", line 172: Line with id day6_b02bb6dc appears twice. The other line is game/script.rpy:172

File "game/script_111aba.rpy", line 173: Line with id day6_49e0a6c8 appears twice. The other line is game/script.rpy:173

File "game/script_111aba.rpy", line 175: Line with id day6_3b099e0b appears twice. The other line is game/script.rpy:175

File "game/script_111aba.rpy", line 186: Line with id day7_45740c31 appears twice. The other line is game/script.rpy:186

File "game/script_111aba.rpy", line 188: Line with id day7_be67099c appears twice. The other line is game/script.rpy:188

File "game/script_111aba.rpy", line 193: Line with id day7_b4227203 appears twice. The other line is game/script.rpy:193

File "game/script_111aba.rpy", line 196: Line with id day7_20a54154 appears twice. The other line is game/script.rpy:196

File "game/script_111aba.rpy", line 225: Line with id mina_route_66b85402 appears twice. The other line is game/script.rpy:225

File "game/script_111aba.rpy", line 226: Line with id mina_route_185a6632 appears twice. The other line is game/script.rpy:226

File "game/script_111aba.rpy", line 231: Line with id yoonseo_route_c3a63a05 appears twice. The other line is game/script.rpy:231

File "game/script_111aba.rpy", line 232: Line with id yoonseo_route_64980b01 appears twice. The other line is game/script.rpy:232

File "game/script_111aba.rpy", line 237: Line with id seorin_route_4013145e appears twice. The other line is game/script.rpy:237

File "game/script_111aba.rpy", line 238: Line with id seorin_route_c949e819 appears twice. The other line is game/script.rpy:238

File "game/script_111aba.rpy", line 243: Line with id jihye_route_3b2a9d34 appears twice. The other line is game/script.rpy:243

File "game/script_111aba.rpy", line 244: Line with id jihye_route_ee3ee8a0 appears twice. The other line is game/script.rpy:244

File "game/script_111aba.rpy", line 249: Line with id rina_route_eb4849ea appears twice. The other line is game/script.rpy:249

File "game/script_111aba.rpy", line 250: Line with id rina_route_aeb5dcd6 appears twice. The other line is game/script.rpy:250

File "game/script_111aba.rpy", line 255: Line with id male_route_67a2589e appears twice. The other line is game/script.rpy:255

File "game/script_111aba.rpy", line 256: Line with id male_route_9755d265 appears twice. The other line is game/script.rpy:256

File "game/script_111aba.rpy", line 261: Line with id solo_end_ead3498a appears twice. The other line is game/script.rpy:261

File "game/script_111aba.rpy", line 262: Line with id solo_end_c60683ce appears twice. The other line is game/script.rpy:262

Ren'Py Version: Ren'Py 8.5.2.26010301
Tue Jan 20 00:05:07 2026
